# k_data chi_data_k2 k_model chi_model_k2
3.700000e+00 2.728818e-01 3.700000e+00 3.239689e-01
3.750000e+00 3.532546e-01 3.750000e+00 4.227925e-01
3.800000e+00 4.400022e-01 3.800000e+00 5.005863e-01
3.850000e+00 5.143604e-01 3.850000e+00 5.567044e-01
3.900000e+00 5.608217e-01 3.900000e+00 5.927172e-01
3.950000e+00 5.996504e-01 3.950000e+00 6.114973e-01
4.000000e+00 6.225467e-01 4.000000e+00 6.161217e-01
4.050000e+00 6.232766e-01 4.050000e+00 6.089057e-01
4.100000e+00 6.095618e-01 4.100000e+00 5.907565e-01
4.150000e+00 5.980745e-01 4.150000e+00 5.608900e-01
4.200000e+00 5.682684e-01 4.200000e+00 5.169751e-01
4.250000e+00 5.114035e-01 4.250000e+00 4.559521e-01
4.300000e+00 4.577651e-01 4.300000e+00 3.752975e-01
4.350000e+00 3.581982e-01 4.350000e+00 2.741467e-01
4.400000e+00 2.356802e-01 4.400000e+00 1.536137e-01
4.450000e+00 1.018098e-01 4.450000e+00 1.658715e-02
4.500000e+00 -6.125013e-02 4.500000e+00 -1.320681e-01
4.550000e+00 -2.366545e-01 4.550000e+00 -2.852885e-01
4.600000e+00 -4.177786e-01 4.600000e+00 -4.346510e-01
4.650000e+00 -5.684418e-01 4.650000e+00 -5.719544e-01
4.700000e+00 -7.197003e-01 4.700000e+00 -6.900120e-01
4.750000e+00 -8.110725e-01 4.750000e+00 -7.824126e-01
4.800000e+00 -8.694420e-01 4.800000e+00 -8.432559e-01
4.850000e+00 -8.981239e-01 4.850000e+00 -8.673516e-01
4.900000e+00 -8.694546e-01 4.900000e+00 -8.509154e-01
4.950000e+00 -8.087406e-01 4.950000e+00 -7.923152e-01
5.000000e+00 -7.076489e-01 5.000000e+00 -6.927657e-01
5.050000e+00 -5.895182e-01 5.050000e+00 -5.567993e-01
5.100000e+00 -4.458087e-01 5.100000e+00 -3.923568e-01
5.150000e+00 -2.676730e-01 5.150000e+00 -2.105211e-01
5.200000e+00 -8.003369e-02 5.200000e+00 -2.423612e-02
5.250000e+00 9.384917e-02 5.250000e+00 1.533871e-01
5.300000e+00 2.484004e-01 5.300000e+00 3.109935e-01
5.350000e+00 3.691451e-01 5.350000e+00 4.404820e-01
5.400000e+00 4.898297e-01 5.400000e+00 5.377583e-01
5.450000e+00 5.546571e-01 5.450000e+00 6.028202e-01
5.500000e+00 6.108664e-01 5.500000e+00 6.390471e-01
5.550000e+00 6.422725e-01 5.550000e+00 6.519077e-01
5.600000e+00 6.584334e-01 5.600000e+00 6.472921e-01
5.650000e+00 6.597963e-01 5.650000e+00 6.299468e-01
5.700000e+00 6.230000e-01 5.700000e+00 6.025232e-01
5.750000e+00 5.720156e-01 5.750000e+00 5.653237e-01
5.800000e+00 5.244726e-01 5.800000e+00 5.167501e-01
5.850000e+00 4.651320e-01 5.850000e+00 4.542682e-01
5.900000e+00 3.739319e-01 5.900000e+00 3.755037e-01
5.950000e+00 2.667088e-01 5.950000e+00 2.794054e-01
6.000000e+00 1.518969e-01 6.000000e+00 1.668189e-01
6.050000e+00 1.038825e-02 6.050000e+00 4.034827e-02
6.100000e+00 -1.291321e-01 6.100000e+00 -9.620757e-02
6.150000e+00 -2.620532e-01 6.150000e+00 -2.383560e-01
6.200000e+00 -3.933319e-01 6.200000e+00 -3.811677e-01
6.250000e+00 -5.171703e-01 6.250000e+00 -5.191634e-01
6.300000e+00 -6.496262e-01 6.300000e+00 -6.458267e-01
6.350000e+00 -7.328415e-01 6.350000e+00 -7.529974e-01
6.400000e+00 -7.987136e-01 6.400000e+00 -8.306872e-01
6.450000e+00 -8.226571e-01 6.450000e+00 -8.677266e-01
6.500000e+00 -8.183875e-01 6.500000e+00 -8.534609e-01
6.550000e+00 -7.757356e-01 6.550000e+00 -7.803399e-01
6.600000e+00 -6.232886e-01 6.600000e+00 -6.468293e-01
6.650000e+00 -4.605977e-01 6.650000e+00 -4.597650e-01
6.700000e+00 -2.215814e-01 6.700000e+00 -2.352200e-01
6.750000e+00 4.096100e-02 6.750000e+00 2.786896e-03
6.800000e+00 2.644297e-01 6.800000e+00 2.257938e-01
6.850000e+00 4.360891e-01 6.850000e+00 4.061059e-01
6.900000e+00 5.564790e-01 6.900000e+00 5.226844e-01
6.950000e+00 5.747576e-01 6.950000e+00 5.662169e-01
7.000000e+00 5.430708e-01 7.000000e+00 5.419025e-01
7.050000e+00 4.623751e-01 7.050000e+00 4.689354e-01
7.100000e+00 3.615287e-01 7.100000e+00 3.764753e-01
7.150000e+00 3.269744e-01 7.150000e+00 2.968415e-01
7.200000e+00 3.184964e-01 7.200000e+00 2.574943e-01
7.250000e+00 3.575364e-01 7.250000e+00 2.738101e-01
7.300000e+00 4.379710e-01 7.300000e+00 3.446441e-01
7.350000e+00 5.418643e-01 7.350000e+00 4.519217e-01
7.400000e+00 6.307714e-01 7.400000e+00 5.644484e-01
7.450000e+00 6.799121e-01 7.450000e+00 6.450896e-01
7.500000e+00 6.494635e-01 7.500000e+00 6.595859e-01
7.550000e+00 5.563153e-01 7.550000e+00 5.848441e-01
7.600000e+00 3.487783e-01 7.600000e+00 4.146900e-01
7.650000e+00 1.034144e-01 7.650000e+00 1.617375e-01
7.700000e+00 -1.643788e-01 7.700000e+00 -1.449551e-01
7.750000e+00 -4.462489e-01 7.750000e+00 -4.657062e-01
7.800000e+00 -7.449937e-01 7.800000e+00 -7.580214e-01
7.850000e+00 -9.458208e-01 7.850000e+00 -9.844150e-01
7.900000e+00 -1.103343e+00 7.900000e+00 -1.118456e+00
7.950000e+00 -1.189160e+00 7.950000e+00 -1.147914e+00
8.000000e+00 -1.185933e+00 8.000000e+00 -1.074755e+00
8.050000e+00 -1.036809e+00 8.050000e+00 -9.125915e-01
8.100000e+00 -7.777857e-01 8.100000e+00 -6.827626e-01
8.150000e+00 -4.436809e-01 8.150000e+00 -4.103277e-01
8.200000e+00 -9.078800e-02 8.200000e+00 -1.209832e-01
8.250000e+00 2.514452e-01 8.250000e+00 1.607008e-01
8.300000e+00 5.396452e-01 8.300000e+00 4.119340e-01
8.350000e+00 6.923801e-01 8.350000e+00 6.119980e-01
8.400000e+00 7.459579e-01 8.400000e+00 7.430205e-01
8.450000e+00 7.101107e-01 8.450000e+00 7.917841e-01
8.500000e+00 6.399539e-01 8.500000e+00 7.525322e-01
8.550000e+00 4.911664e-01 8.550000e+00 6.300573e-01
8.600000e+00 3.143013e-01 8.600000e+00 4.418560e-01
8.650000e+00 1.770410e-01 8.650000e+00 2.180469e-01
8.700000e+00 2.650797e-02 8.700000e+00 -1.850721e-03
8.750000e+00 -1.027464e-01 8.750000e+00 -1.753303e-01
8.800000e+00 -2.141372e-01 8.800000e+00 -2.654886e-01
8.850000e+00 -2.490330e-01 8.850000e+00 -2.499182e-01
8.900000e+00 -1.898053e-01 8.900000e+00 -1.275782e-01
8.950000e+00 -5.645569e-02 8.950000e+00 7.848811e-02
9.000000e+00 1.504528e-01 9.000000e+00 3.238591e-01
9.050000e+00 4.419656e-01 9.050000e+00 5.508195e-01
9.100000e+00 6.709254e-01 9.100000e+00 7.003404e-01
9.150000e+00 8.099983e-01 9.150000e+00 7.253226e-01
9.200000e+00 7.648165e-01 9.200000e+00 6.019565e-01
9.250000e+00 5.011328e-01 9.250000e+00 3.363311e-01
9.300000e+00 4.224524e-02 9.300000e+00 -3.552386e-02
9.350000e+00 -4.932710e-01 9.350000e+00 -4.543354e-01
9.400000e+00 -1.001636e+00 9.400000e+00 -8.495308e-01
9.450000e+00 -1.298829e+00 9.450000e+00 -1.153642e+00
9.500000e+00 -1.428324e+00 9.500000e+00 -1.315798e+00
9.550000e+00 -1.320520e+00 9.550000e+00 -1.311222e+00
9.600000e+00 -1.040948e+00 9.600000e+00 -1.144735e+00
9.650000e+00 -6.556229e-01 9.650000e+00 -8.477865e-01
9.700000e+00 -3.071531e-01 9.700000e+00 -4.701950e-01
9.750000e+00 6.963261e-02 9.750000e+00 -6.896978e-02
9.800000e+00 3.734289e-01 9.800000e+00 3.028947e-01
9.850000e+00 6.433854e-01 9.850000e+00 6.050476e-01
9.900000e+00 7.659491e-01 9.900000e+00 8.141725e-01
9.950000e+00 8.207305e-01 9.950000e+00 9.238181e-01
1.000000e+01 8.570509e-01 1.000000e+01 9.406437e-01
1.005000e+01 8.192803e-01 1.005000e+01 8.789290e-01
1.010000e+01 7.952223e-01 1.010000e+01 7.554127e-01
1.015000e+01 7.087915e-01 1.015000e+01 5.860610e-01
1.020000e+01 5.858197e-01 1.020000e+01 3.854090e-01
1.025000e+01 3.586703e-01 1.025000e+01 1.680305e-01
1.030000e+01 1.036423e-02 1.030000e+01 -4.920115e-02
1.035000e+01 -3.193645e-01 1.035000e+01 -2.457252e-01
1.040000e+01 -5.614737e-01 1.040000e+01 -3.981134e-01
1.045000e+01 -6.227640e-01 1.045000e+01 -4.835723e-01
1.050000e+01 -5.425347e-01 1.050000e+01 -4.854918e-01
1.055000e+01 -3.537731e-01 1.055000e+01 -3.994294e-01
1.060000e+01 -1.203645e-01 1.060000e+01 -2.374382e-01
1.065000e+01 8.175616e-02 1.065000e+01 -2.885168e-02
1.070000e+01 2.205225e-01 1.070000e+01 1.834786e-01
1.075000e+01 2.663704e-01 1.075000e+01 3.511964e-01
1.080000e+01 2.983010e-01 1.080000e+01 4.310681e-01
1.085000e+01 2.734748e-01 1.085000e+01 3.956347e-01
1.090000e+01 2.176848e-01 1.090000e+01 2.410470e-01
1.095000e+01 5.160925e-02 1.095000e+01 -1.020084e-02
1.100000e+01 -1.960807e-01 1.100000e+01 -3.126886e-01
1.105000e+01 -4.731748e-01 1.105000e+01 -6.070996e-01
1.110000e+01 -7.637539e-01 1.110000e+01 -8.328332e-01
1.115000e+01 -8.590559e-01 1.115000e+01 -9.411877e-01
1.120000e+01 -8.151973e-01 1.120000e+01 -9.059176e-01
1.125000e+01 -6.676117e-01 1.125000e+01 -7.286033e-01
1.130000e+01 -4.524834e-01 1.130000e+01 -4.376400e-01
1.135000e+01 -2.423824e-01 1.135000e+01 -8.130510e-02
1.140000e+01 6.150002e-03 1.140000e+01 2.831526e-01
1.145000e+01 3.129485e-01 1.145000e+01 6.015318e-01
1.150000e+01 6.395697e-01 1.150000e+01 8.328309e-01
1.155000e+01 9.164613e-01 1.155000e+01 9.552655e-01
1.160000e+01 1.076263e+00 1.160000e+01 9.671686e-01
1.165000e+01 1.000835e+00 1.165000e+01 8.832620e-01
1.170000e+01 7.810227e-01 1.170000e+01 7.279976e-01
1.175000e+01 5.169235e-01 1.175000e+01 5.282897e-01
1.180000e+01 2.591376e-01 1.180000e+01 3.078214e-01
1.185000e+01 2.368985e-02 1.185000e+01 8.432086e-02
1.190000e+01 -1.804674e-01 1.190000e+01 -1.299687e-01
1.195000e+01 -3.876951e-01 1.195000e+01 -3.255512e-01
1.200000e+01 -4.688802e-01 1.200000e+01 -4.923561e-01
1.205000e+01 -5.074801e-01 1.205000e+01 -6.176415e-01
1.210000e+01 -5.913623e-01 1.210000e+01 -6.863965e-01
1.215000e+01 -6.488492e-01 1.215000e+01 -6.845102e-01
1.220000e+01 -7.417893e-01 1.220000e+01 -6.038410e-01
1.225000e+01 -6.627317e-01 1.225000e+01 -4.474401e-01
1.230000e+01 -4.529453e-01 1.230000e+01 -2.328714e-01
1.235000e+01 -7.379627e-02 1.235000e+01 8.041502e-03
1.240000e+01 3.661149e-01 1.240000e+01 2.337195e-01
1.245000e+01 6.033076e-01 1.245000e+01 4.009611e-01
1.250000e+01 7.078284e-01 1.250000e+01 4.748614e-01
1.255000e+01 6.081589e-01 1.255000e+01 4.379268e-01
1.260000e+01 3.520987e-01 1.260000e+01 2.957818e-01
1.265000e+01 6.626828e-02 1.265000e+01 7.761556e-02
1.270000e+01 -2.360845e-01 1.270000e+01 -1.691437e-01
1.275000e+01 -3.794761e-01 1.275000e+01 -3.888911e-01
1.280000e+01 -4.133045e-01 1.280000e+01 -5.302887e-01
1.285000e+01 -3.886827e-01 1.285000e+01 -5.580305e-01
1.290000e+01 -2.868969e-01 1.290000e+01 -4.609850e-01
1.295000e+01 -1.656904e-01 1.295000e+01 -2.546910e-01
1.300000e+01 5.247357e-02 1.300000e+01 2.235663e-02
1.305000e+01 2.418842e-01 1.305000e+01 3.175946e-01
1.310000e+01 4.267302e-01 1.310000e+01 5.761249e-01
1.315000e+01 5.185179e-01 1.315000e+01 7.523279e-01
1.320000e+01 5.692134e-01 1.320000e+01 8.185783e-01
1.325000e+01 7.215359e-01 1.325000e+01 7.692425e-01
1.330000e+01 7.516545e-01 1.330000e+01 6.194079e-01
1.335000e+01 6.577372e-01 1.335000e+01 3.992215e-01
1.340000e+01 3.689842e-01 1.340000e+01 1.457783e-01
1.345000e+01 -8.630798e-02 1.345000e+01 -1.050788e-01
1.350000e+01 -4.781937e-01 1.350000e+01 -3.249603e-01
1.355000e+01 -7.164984e-01 1.355000e+01 -4.958946e-01
1.360000e+01 -7.793344e-01 1.360000e+01 -6.099462e-01
1.365000e+01 -7.674333e-01 1.365000e+01 -6.664123e-01
1.370000e+01 -6.634681e-01 1.370000e+01 -6.681586e-01
1.375000e+01 -5.433487e-01 1.375000e+01 -6.187105e-01
1.380000e+01 -4.598766e-01 1.380000e+01 -5.212133e-01
1.385000e+01 -3.655028e-01 1.385000e+01 -3.795115e-01
1.390000e+01 -2.269395e-01 1.390000e+01 -2.006764e-01
1.395000e+01 3.793454e-02 1.395000e+01 2.342230e-03
1.400000e+01 2.190868e-01 1.400000e+01 2.094298e-01
1.405000e+01 4.017456e-01 1.405000e+01 3.944848e-01
1.410000e+01 4.557048e-01 1.410000e+01 5.293403e-01
1.415000e+01 5.267044e-01 1.415000e+01 5.897142e-01
1.420000e+01 5.714880e-01 1.420000e+01 5.616379e-01
1.425000e+01 4.329828e-01 1.425000e+01 4.464944e-01
1.430000e+01 2.565193e-01 1.430000e+01 2.629397e-01
1.435000e+01 -9.647213e-02 1.435000e+01 4.469352e-02
1.440000e+01 -2.833779e-01 1.440000e+01 -1.656811e-01
1.445000e+01 -3.000550e-01 1.445000e+01 -3.257324e-01
1.450000e+01 -3.151003e-01 1.450000e+01 -4.026691e-01
1.455000e+01 -2.011275e-01 1.455000e+01 -3.810807e-01
1.460000e+01 -1.209937e-01 1.460000e+01 -2.667878e-01
1.465000e+01 1.986514e-02 1.465000e+01 -8.575049e-02
1.470000e+01 1.800194e-01 1.470000e+01 1.217625e-01
1.475000e+01 2.469273e-01 1.475000e+01 3.103054e-01
1.480000e+01 4.459023e-01 1.480000e+01 4.394067e-01
1.485000e+01 4.947439e-01 1.485000e+01 4.822425e-01
1.490000e+01 4.542799e-01 1.490000e+01 4.307878e-01
1.495000e+01 2.073010e-01 1.495000e+01 2.963888e-01
1.500000e+01 1.081428e-01 1.500000e+01 1.059256e-01
1.505000e+01 3.808510e-03 1.505000e+01 -1.051525e-01
1.510000e+01 -2.293771e-01 1.510000e+01 -3.009350e-01
1.515000e+01 -3.045133e-01 1.515000e+01 -4.522169e-01
1.520000e+01 -3.622488e-01 1.520000e+01 -5.410946e-01
1.525000e+01 -4.810593e-01 1.525000e+01 -5.622066e-01
1.530000e+01 -4.800645e-01 1.530000e+01 -5.209077e-01
1.535000e+01 -4.917838e-01 1.535000e+01 -4.294872e-01
1.540000e+01 -3.541545e-01 1.540000e+01 -3.029231e-01
1.545000e+01 -2.761983e-01 1.545000e+01 -1.555521e-01
1.550000e+01 -1.044168e-01 1.550000e+01 5.082464e-04
1.555000e+01 1.106267e-01 1.555000e+01 1.551125e-01
1.560000e+01 1.995604e-01 1.560000e+01 2.986584e-01
1.565000e+01 4.017930e-01 1.565000e+01 4.205490e-01
1.570000e+01 4.411886e-01 1.570000e+01 5.086218e-01
1.575000e+01 3.290304e-01 1.575000e+01 5.502129e-01
1.580000e+01 1.519141e-01 1.580000e+01 5.348430e-01
1.585000e+01 2.545689e-02 1.585000e+01 4.578052e-01
1.590000e+01 2.174420e-02 1.590000e+01 3.234380e-01
1.595000e+01 7.818067e-03 1.595000e+01 1.467739e-01
1.600000e+01 1.859582e-02 1.600000e+01 -4.739536e-02
1.605000e+01 -9.089420e-02 1.605000e+01 -2.282772e-01
1.610000e+01 -1.445826e-01 1.610000e+01 -3.650438e-01
1.615000e+01 -2.521976e-01 1.615000e+01 -4.336545e-01
1.620000e+01 -3.161427e-01 1.620000e+01 -4.227481e-01
1.625000e+01 -2.394063e-01 1.625000e+01 -3.369044e-01
1.630000e+01 -1.712349e-01 1.630000e+01 -1.962785e-01
1.635000e+01 2.482971e-02 1.635000e+01 -3.250863e-02
1.640000e+01 1.602608e-01 1.640000e+01 1.182117e-01
1.645000e+01 2.748360e-01 1.645000e+01 2.232378e-01
1.650000e+01 4.090136e-01 1.650000e+01 2.607631e-01
1.655000e+01 5.147038e-01 1.655000e+01 2.245070e-01
1.660000e+01 4.897128e-01 1.660000e+01 1.246931e-01
1.665000e+01 2.570602e-01 1.665000e+01 -1.482322e-02
1.670000e+01 -6.776918e-02 1.670000e+01 -1.624438e-01
1.675000e+01 -2.266858e-01 1.675000e+01 -2.861712e-01
1.680000e+01 -1.555176e-01 1.680000e+01 -3.605602e-01
1.685000e+01 -1.574236e-01 1.685000e+01 -3.716483e-01
1.690000e+01 -2.180828e-01 1.690000e+01 -3.188649e-01
1.695000e+01 -3.093166e-01 1.695000e+01 -2.137694e-01
1.700000e+01 -1.890516e-01 1.700000e+01 -7.628552e-02
1.705000e+01 2.078793e-02 1.705000e+01 7.034036e-02
1.710000e+01 9.836525e-02 1.710000e+01 2.044538e-01
1.715000e+01 2.177832e-01 1.715000e+01 3.096040e-01
