# r_data chir_mag_data chir_real_data r_model chir_mag_model chir_real_model
3.221360e+00 1.119281e-01 -9.643836e-02 3.221360e+00 7.616539e-02 -7.131270e-02
3.252039e+00 1.335601e-01 -1.327176e-01 3.252039e+00 9.971654e-02 -9.962661e-02
3.282719e+00 1.581918e-01 -1.488909e-01 3.282719e+00 1.277084e-01 -1.135643e-01
3.313399e+00 1.848360e-01 -1.244918e-01 3.313399e+00 1.588906e-01 -9.449561e-02
3.344078e+00 2.125814e-01 -4.782478e-02 3.344078e+00 1.917614e-01 -2.979567e-02
3.374758e+00 2.406703e-01 7.255907e-02 3.374758e+00 2.247413e-01 7.594472e-02
3.405437e+00 2.685846e-01 2.032013e-01 3.405437e+00 2.563778e-01 1.950190e-01
3.436117e+00 2.961290e-01 2.930585e-01 3.436117e+00 2.855783e-01 2.815693e-01
3.466797e+00 3.234844e-01 2.927129e-01 3.466797e+00 3.118507e-01 2.883515e-01
3.497476e+00 3.512008e-01 1.787374e-01 3.497476e+00 3.355102e-01 1.897833e-01
3.528156e+00 3.801017e-01 -2.808289e-02 3.528156e+00 3.577827e-01 7.478466e-04
3.558835e+00 4.110954e-01 -2.614636e-01 3.558835e+00 3.807034e-01 -2.197481e-01
3.589515e+00 4.449247e-01 -4.296962e-01 3.589515e+00 4.067217e-01 -3.855116e-01
3.620195e+00 4.819231e-01 -4.516069e-01 3.620195e+00 4.380305e-01 -4.166832e-01
3.650874e+00 5.218521e-01 -2.940709e-01 3.650874e+00 4.758401e-01 -2.767102e-01
3.681554e+00 5.638640e-01 6.271242e-03 3.681554e+00 5.199305e-01 4.285088e-03
3.712234e+00 6.065858e-01 3.492988e-01 3.712234e+00 5.686684e-01 3.327320e-01
3.742913e+00 6.482805e-01 6.061640e-01 3.742913e+00 6.193933e-01 5.834060e-01
3.773593e+00 6.870384e-01 6.697904e-01 3.773593e+00 6.689383e-01 6.485329e-01
3.804272e+00 7.209618e-01 5.000986e-01 3.804272e+00 7.141030e-01 4.838535e-01
3.834952e+00 7.483226e-01 1.439275e-01 3.834952e+00 7.520135e-01 1.311275e-01
3.865632e+00 7.676851e-01 -2.800457e-01 3.865632e+00 7.803640e-01 -2.940177e-01
3.896311e+00 7.779931e-01 -6.259076e-01 3.896311e+00 7.975611e-01 -6.449945e-01
3.926991e+00 7.786231e-01 -7.761617e-01 3.926991e+00 8.027849e-01 -8.003611e-01
3.957670e+00 7.694071e-01 -6.852344e-01 3.957670e+00 7.959786e-01 -7.096885e-01
3.988350e+00 7.506274e-01 -3.933395e-01 3.988350e+00 7.777794e-01 -4.104071e-01
4.019030e+00 7.229887e-01 -6.501018e-03 4.019030e+00 7.494007e-01 -9.787869e-03
