# k_data chi_data_k2 k_model chi_model_k2
1.215000e+01 -6.488492e-01 1.215000e+01 -6.881182e-01
1.220000e+01 -7.417893e-01 1.220000e+01 -6.012523e-01
1.225000e+01 -6.627317e-01 1.225000e+01 -4.400507e-01
1.230000e+01 -4.529453e-01 1.230000e+01 -2.226477e-01
1.235000e+01 -7.379627e-02 1.235000e+01 1.902657e-02
1.240000e+01 3.661149e-01 1.240000e+01 2.436504e-01
1.245000e+01 6.033076e-01 1.245000e+01 4.084969e-01
1.250000e+01 7.078284e-01 1.250000e+01 4.792171e-01
1.255000e+01 6.081589e-01 1.255000e+01 4.388661e-01
1.260000e+01 3.520987e-01 1.260000e+01 2.935730e-01
1.265000e+01 6.626828e-02 1.265000e+01 7.298399e-02
1.270000e+01 -2.360845e-01 1.270000e+01 -1.750682e-01
1.275000e+01 -3.794761e-01 1.275000e+01 -3.946602e-01
1.280000e+01 -4.133045e-01 1.280000e+01 -5.342929e-01
1.285000e+01 -3.886827e-01 1.285000e+01 -5.587479e-01
1.290000e+01 -2.868969e-01 1.290000e+01 -4.573043e-01
1.295000e+01 -1.656904e-01 1.295000e+01 -2.462460e-01
1.300000e+01 5.247357e-02 1.300000e+01 3.493504e-02
1.305000e+01 2.418842e-01 1.305000e+01 3.326068e-01
1.310000e+01 4.267302e-01 1.310000e+01 5.909779e-01
1.315000e+01 5.185179e-01 1.315000e+01 7.639419e-01
1.320000e+01 5.692134e-01 1.320000e+01 8.239557e-01
1.325000e+01 7.215359e-01 1.325000e+01 7.661931e-01
1.330000e+01 7.516545e-01 1.330000e+01 6.072154e-01
1.335000e+01 6.577372e-01 1.335000e+01 3.790218e-01
1.340000e+01 3.689842e-01 1.340000e+01 1.204911e-01
1.345000e+01 -8.630798e-02 1.345000e+01 -1.312954e-01
1.350000e+01 -4.781937e-01 1.350000e+01 -3.476209e-01
1.355000e+01 -7.164984e-01 1.355000e+01 -5.112341e-01
1.360000e+01 -7.793344e-01 1.360000e+01 -6.158205e-01
1.365000e+01 -7.674333e-01 1.365000e+01 -6.627991e-01
1.370000e+01 -6.634681e-01 1.370000e+01 -6.571082e-01
1.375000e+01 -5.433487e-01 1.375000e+01 -6.037469e-01
1.380000e+01 -4.598766e-01 1.380000e+01 -5.063390e-01
1.385000e+01 -3.655028e-01 1.385000e+01 -3.680814e-01
1.390000e+01 -2.269395e-01 1.390000e+01 -1.944519e-01
1.395000e+01 3.793454e-02 1.395000e+01 3.688902e-03
1.400000e+01 2.190868e-01 1.400000e+01 2.081953e-01
1.405000e+01 4.017456e-01 1.405000e+01 3.941925e-01
1.410000e+01 4.557048e-01 1.410000e+01 5.335341e-01
1.415000e+01 5.267044e-01 1.415000e+01 6.005790e-01
1.420000e+01 5.714880e-01 1.420000e+01 5.788010e-01
1.425000e+01 4.329828e-01 1.425000e+01 4.665353e-01
1.430000e+01 2.565193e-01 1.430000e+01 2.800046e-01
1.435000e+01 -9.647213e-02 1.435000e+01 5.217827e-02
1.440000e+01 -2.833779e-01 1.440000e+01 -1.728591e-01
1.445000e+01 -3.000550e-01 1.445000e+01 -3.490602e-01
1.450000e+01 -3.151003e-01 1.450000e+01 -4.389624e-01
1.455000e+01 -2.011275e-01 1.455000e+01 -4.228963e-01
1.460000e+01 -1.209937e-01 1.460000e+01 -3.042841e-01
1.465000e+01 1.986514e-02 1.465000e+01 -1.094249e-01
1.470000e+01 1.800194e-01 1.470000e+01 1.183444e-01
1.475000e+01 2.469273e-01 1.475000e+01 3.286565e-01
1.480000e+01 4.459023e-01 1.480000e+01 4.756833e-01
1.485000e+01 4.947439e-01 1.485000e+01 5.282857e-01
